arabic_text,english_text
برنيه,Barniya
البكاي,Al-Bakkay
رشا,Rasha
البكوش,Al-Bakoush
أسيا,Asiya
الصديق,Al-Siddiq
المصراتى,Al-Misrati
سعاد,Souad
عبدالعالى,Abdelali
المغربي,Al-Maghribi
امل,Amal
المعتمد,Al-Motamad
فاطمه,Fatima
الوحيشي,Al-Wahishi
كركار,Karkar
خليفة,Khalifa
العائب,Al-Aaeb
فايز,Faiez
موسى,Mousa
كريم,Karim
فرحات,Farhat
عبدالرسول,Abdelrasoul
الرحيبي,Al-Ruhaibi
حسّن,Hassan
عادل,Adel
سناء,Sanaa
امين,Amin
المنياوي,Al-Miniawi
نجاة,Najat
الدرباك,Al-Darbak
الشكرى,Al-Shakri
نجيه,Najia
بوبكر,Bobakr
ساميه,Samia
نوري,Nouri
عزيزه,Aziza
بوغولة,Boghoula
عبدالونيس,Abdelwanis
اغفير,Aghfir
صالحه,Saleha
بلال,Bilal
نوالدين,Noureddin
طاهر,Taher
ارحومه,Arhouma
بن,Ben
جلول,Jelloul
المهدي,Al-Mahdi
الضلعه,Al-Dalaa
ايمان,Iman
عبدالحفيظ,Abdelhafeez
عثمان,Othman
العوامي,Al-Awami
رقيه,Ruqayya
امراجع,Emraji
الصغير,Al-Saghir
الساكر,Al-Saker
عائشة,Aisha
امعزيق,Emaziq
البرغثي,Al-Barghathi
سميه,Sumaya
نوح,Nouh
زقوط,Zaqout
هاجر,Hajar
المحيشي,Al-Mahishi
فاطمة,Fatima
احفيظة,Ahfaiza
ليلي,Laila
الحمودي,Al-Hamoudi
سالمين,Salmeen
الساعدى,Al-Saadi
غزاله,Ghazala
عيسى,Issa
الطويل,Al-Tawil
العريبي,Al-Aribi
ناصر,Nasser
العبار,Al-Abbar
جبريل,Jibril
المجريسي,Al-Majrisi
امدلله,Amdallah
القذافي,Al-Qadhafi
الطويلب,Al-Tuwaileb
مديحة,Madiha
لطفي,Lotfi
مرعية,Mareya
عبدالنبي,Abdelnabi
العشيبي,Al-Ashaibi
نعيمه,Naeema
هاشم,Hashem
مبارك,Mubarak
الساعدي,Al-Saadi
الجندي,Al-Jundi
الاثرم,Al-Athram
نوارة,Nuwara
الفزانى,Al-Fazzani
احميده,Ahmeida
الحداد,Al-Haddad
عاليه,Alia
الهرش,Al-Harsh
خليل,Khalil
عباس,Abbas
الناجى,Al-Naji
الزروق,Al-Zrouq
تختاش,Takhtash
كافية,Kafiya
مستوره,Mastoura
فضيل,Fudail
انبيش,Anbish
عبداللطيف,Abdellatif
امال,Amal
المجريسى,Al-Majrisi
نصير,Nseir
الاترم,Al-Atram
النحيلي,Al-Nehaili
منى,Mona
الجهمي,Al-Jahmi
عصام,Issam
بوهديمه,Bohdeima
نجوى,Najwa
العبيدى,Al-Obaidi
عبدالدايم,Abdeldaem
ابتسام,Ibtisam
العرفي,Al-Orfi
بالقاسم,Belqasim
أمراجع,Emraji
ريم,Reem
عبدالرازق,Abdelrazek
رجب,Rajab
ميلاد,Milad
الشيخى,Al-Sheikhi
سالمة,Salma
أنس,Anas
فوزى,Fawzi
الصادق,Al-Sadeq
شتول,Shtoul
عالي,Aali
فتحي,Fathi
نهى,Noha
نصيب,Naseeb
زهره,Zahra
عبدالمالك,Abdelmalek
بزامه,Bazzama
صلاح,Salah
الدين,Eddin
مرعي,Marei
عبدالرحمن,Abdelrahman
عزالدين,Ezzeddin
المنقوش,Al-Manqoush
ريسة,Reisa
أمنه,Amena
العامرى,Al-Amari
الموهوب,Al-Mawhoub
عبدالرحيم,Abdelrahim
سلوى,Salwa
اللواج,Al-Lawaj
عمار,Ammar
معروف,Maarouf
أرحيم,Arhaim
حليمه,Halima
أدم,Adam
ابوحليمه,Abouhalima
سعديه,Saadia
الجازوي,Al-Jazawi
طيب,Tayeb
ماضى,Madi
نعيمة,Naeema
اشتيوي,Ashtiwi
جادالله,Jadallah
الضراط,Al-Darrat
العرفى,Al-Orfi
آمنه,Amena
موسي,Mousa
ارحيم,Arhaim
بدر,Bader
الفرجانى,Al-Farjani
الشطشاط,Al-Shtashat
رجاء,Rajaa
عبدالجليل,Abdeljalil
المهدوى,Al-Mahdawi
حميدة,Hmeida
هيبه,Heba
الاوجلي,Al-Awjali
محبوبة,Mahbouba
عبدالهادى,Abdelhadi
الأجطل,Al-Ajtal
مبروكة,Mabrouka
سميره,Samira
سلامة,Salama
اغنيوه,Aghniwa
صبريه,Sabriya
الهاشمى,Al-Hashmi
العيان,Al-Ayyan
دنيا,Donia
سامى,Sami
نجاتى,Najati
مفراكس,Mafraks
هارون,Haroun
الفلاح,Al-Fallah
اللافي,Al-Lafi
بوأصبع,Boasba
ناجيه,Najia
ايناس,Inas
اشقيفه,Ashqifa
تبرة,Tabra
زيدان,Zidan
امبريكه,Embarika
حميد,Humaid
الرعيض,Al-Ruaidh
ريان,Rayyan
الورفلى,Al-Warfalli
فتحية,Fathiya
الوافى,Al-Wafi
منال,Manal
مبروكه,Mabrouka
الجازى,Al-Jazi
رويده,Ruwaida
العز,Al-Ezz
ابوشناف,Aboushnaf
الهرام,Al-Haram
امانى,Amani
عبدالشفيع,Abdelshafie
التاعب,Al-Taaeb
بوقرين,Bogrin
طالب,Taleb
جمل,Jamal
عائشه,Aisha
نواره,Nuwara
الصالحين,Al-Saleheen
اشتيوى,Ashtiwi
زايد,Zayed
عبدالجيد,Abdeljid
أحمودة,Ahmouda
تهانى,Tahani
رقبة,Ragba
الشهوبى,Al-Shahoubi
شعيب,Shuaib
اكريم,Akrim
خير,Khair
الشارف,Al-Sharif
مراجع,Mraji
زوبي,Zoubi
جاده,Jada
عبد,Abd
القوي,Al-Qawi
حميده,Hmeida
حواء,Hawa
القعود,Al-Gaoud
منيرة,Munira
احويج,Ahwaij
رابحه,Rabha
البنوني,Al-Bannouni
الجهانى,Al-Jahani
النور,Al-Nour
الفرجاني,Al-Farjani
محبوب,Mahboub
فاتن,Faten
الرايس,Al-Raees
عبدالنبى,Abdelnabi
النائلى,Al-Naili
فاضل,Fadel
المعوج,Al-Maouj
ضوء,Dhou
نجاح,Najah
عبدالعزيز,Abdelaziz
قذافى,Qadhafi
الشامخ,Al-Shamikh
شحات,Shehat
عبدالناصر,Abdelnasser
عبدالعاطي,Abdelati
قاسم,Qasem
مقبولة,Maqboula
القديري,Al-Qadiri
كريمه,Karima
الجبالي,Al-Jabali
القدارى,Al-Qadari
الصيد,Al-Said
عبدالعاطى,Abdelati
وكال,Wikal
عصرانه,Asrana
شعبان,Shaaban
ملكه,Malika
القزاز,Al-Qazzaz
عواطف,Awatif
السنوسى,Al-Senussi
سالمه,Salma
بولغيب,Bolghaib
عبدالوهاب,Abdelwahab
البرنس,Al-Barnis
لمياء,Lamia
عزيزة,Aziza
عقيلة,Aqila
البرجو,Al-Barjou
عبدالباسط,Abdelbasset
الفارسي,Al-Farsi
انتصار,Intisar
احمودة,Ahmouda
عماد,Imad
الفضيل,Al-Fudail
الساحلى,Al-Sahli
ابوسديغ,Abousdeigh
عبدالكافى,Abdelkafi
الكوافى,Al-Kawafi
أمال,Amal
فوزي,Fawzi
غشير,Ghashir
العمامي,Al-Omami
بريدان,Bridan
الغفير,Al-Ghafeer
استبرق,Istabraq
البيجو,Al-Bijo
فريال,Ferial
معزب,Moazeb
العقوري,Al-Ogouri
طارق,Tariq
السيد,El-Sayed
عبدالدائم,Abdeldaem
العقيلى,Al-Aqili
عطية,Atiya
مازق,Mazeg
حسْن,Hassan
القزون,Al-Gazzoun
عيد,Eid
فوزية,Fawziya
امهني,Amhani
ابحيري,Abheiri
ابوسيف,Abouseif
مفلح,Mefleh
اخليف,Akhlif
المعداني,Al-Maadani
صبرية,Sabriya
بومنجل,Bomenjel
ياسمينة,Yasmina
سليم,Salim
الشيخي,Al-Sheikhi
نجمة,Najma
ميار,Mayar
التهامي,Al-Tuhami
إبراهيم,Ibrahim
منير,Mounir
الريفى,Al-Rifi
بوكاره,Bokara
اقزيم,Aqzeem
هلال,Hilal
لقريد,Lqreid
اسقاوه,Isqawa
بوجدارية,Bojdaria
حمدى,Hamdi
البكاى,Al-Bakkay
الجالى,Al-Jali
نجية,Najia
الدانسكه,Al-Danaska
عزة,Izza
خميس,Khamis
العزيز,Aziz
خضر,Khader
سند,Sanad
السعيطي,Al-Suyuti
زينب,Zainab
الغرياني,Al-Ghiryani
عبدالمجيد,Abdelmajid
غالية,Ghalia
رزق,Rizk
الصويعى,Al-Suwaii
اقويدر,Aqwaidar
لجين,Lujain
قطيش,Qteish
عبدالغفار,Abdelghaffar
الصراح,Al-Sarrah
المطرفي,Al-Matrafi
الهادي,Al-Hadi
الزائر,Al-Zaer
بوزريبه,Bozreiba
سمية,Sumaya
بورقيعه,Borqia
المهدوي,Al-Mahdawi
كالى,Kali
دلوما,Dalouma
الشابي,Al-Shabi
اجديده,Ajdeida
رجعه,Rajaa
الفيتورى,Al-Fitouri
زطاطة,Ztata
امسيب,Amsib
دلال,Dalal
زهرة,Zahra
قدور,Qaddour
وليد,Walid
خديجة,Khadija
المزينى,Al-Mazini
حنين,Haneen
الاسكندراني,Al-Iskandarani
بعيو,Baayo
اقويه,Aqawiya
المغيربى,Al-Maghirbi
جابر,Jaber
اسويرى,Aswairi
مروى,Marwa
المحلي,Al-Mahalli
سدينة,Sdeina
لاشهب,Lasheb
حموده,Hamouda
الآء,Alaa
الشاوش,Al-Shawish
عبداله,Abdallah
الخضراء,Al-Khadraa
الشيباني,Al-Shaibani
امطير,Amtir
السلام,Salam
روضه,Rawda
بخيت,Bakhit
اجويلي,Ajwaili
شكري,Shukri
القطعاني,Al-Qatani
إيمان,Iman
غصون,Ghousoun
البراني,Al-Barani
بودجاجه,Bodjaja
الربيعى,Al-Rubaii
رحاب,Rehab
المجبري,Al-Majbari
الفقي,Al-Fiqi
شيماء,Shaimaa
حدود,Hudoud
فله,Fella
عقلى,Aqli
خلف,Khalaf
معوض,Moawad
ماسة,Masa
اسامه,Osama
صهيب,Sohaib
المشيطى,Al-Mashiti
بوخزيم,Bokhzeim
عتيقه,Ateeqa
بوعايشة,Boaisha
ابوالقاسم,Aboulqasem
أيوب,Ayoub
حفاظ,Hafaz
الشارده,Al-Sharada
العجيلي,Al-Ojeili
أوحيدة,Ouhaida
العلوانى,Al-Alwani
ايمن,Ayman
اقليوان,Aqliwan
ابوجوله,Aboujola
جمال,Jamal
يحى,Yahya
المسمارى,Al-Mismari
العمارى,Al-Omari
خاتمه,Khatma
ارجيعة,Arjia
اقدورة,Aqdoura
خيرالله,Khairallah
احلام,Ahlam
فائزه,Faiza
ياسر,Yasser
شقلوف,Shaglouf
آمنة,Amena
صفاء,Safaa
بهاء,Baha
رحيل,Raheel
الفقى,Al-Fiqi
مجيد,Majid
الجملى,Al-Jamli
فائد,Faed
الدرسى,Al-Darsi
الثوير,Al-Thuwair
أمينه,Amina
أسماعيل,Ismail
فريحه,Fareeha
مضاوي,Madhawi
حيسن,Hisen
منيره,Munira
المنفور,Al-Manfour
كامله,Kamla
الحجل,Al-Hajal
خطاب,Khattab
انوار,Anwar
المالطى,Al-Malti
نجاتي,Najati
غفير,Ghafeer
حازم,Hazem
الخرشوفي,Al-Kharshoufi
هنية,Haniya
امبارك,Embarek
عبدالمنعم,Abdelmoneim
الطبولى,Al-Tabouli
المجيد,Al-Majid
رضوان,Ridwan
عز,Ezz
بومراغه,Bomaragha
سوميه,Soumaya
العربى,Al-Arabi
غاليه,Ghalia
الشكماك,Al-Shakmak
مرعى,Marei
الطيار,Al-Tayyar
الغمارى,Al-Ghamari
الكاديكى,Al-Kadiki
الامين,Al-Amin
الفازه,Al-Fazza
ابو,Abou
سبيحة,Sbiha
وعد,Waad
النويسري,Al-Nuwaisri
مكائيل,Mikail
مريم,Mariam
بوجازية,Bogazia
بولطعه,Bolatta
القماطى,Al-Qamati
هناء,Hanaa
مرام,Maram
نبيل,Nabil
مخيون,Mekhion
قيس,Qais
زاهيه,Zahia
عيسي,Issa
بوزيد,Bozid
هدي,Huda
مختار,Mukhtar
الحضيري,Al-Hudairi
عايده,Aida
انويجي,Anwaiji
مؤمن,Moumen
رواسي,Rawasi
مجدى,Magdi
المصراتي,Al-Misrati
ناديه,Nadia
الحران,Al-Harran
ابوزيد,Abouzeid
نعمه,Neama
بوصفيطه,Bosfita
احريب,Ahrib
إعبيد,Ebeid
عبير,Abeer
سلامه,Salama
اجبالي,Ajbali
الامير,Al-Amir
الزين,Al-Zein
علجيه,Aljia
عبدالبارى,Abdelbari
اقرين,Aqrin
مسعودة,Masouda
بازاما,Bazama
الشعافي,Al-Shaafi
الورفلي,Al-Warfalli
الفاخرى,Al-Fakhri
كثلوم,Kathloum
حريمص,Hraimis
الحوتى,Al-Houti
حسام,Hossam
بالطيب,Baltayeb
عبدالستار,Abdelsattar
النعاس,Al-Naas
فراج,Faraj
اسمهان,Asmahan
ضؤ,Dhou
الاخضر,Al-Akhdar
فريحة,Fareeha
اوريده,Ouraida
قشقش,Qashqash
سندس,Sundus
الحميد,Hamid
الفضلى,Al-Fadli
أماني,Amani
اللطيف,Latif
اعبيده,Abeida
زين,Zein
راشد,Rashid
عبدالباري,Abdelbari
القرارى,Al-Qarari
مبروك,Mabrouk
حليم,Halim
الطيف,Al-Taif
حمزه,Hamza
ابوزريده,Abuzreida
جاب,Jab
أمينة,Amina
قادير,Qadir
الرازق,Al-Razek
الغيثى,Al-Ghaithi
احدود,Ahdoud
الدائري,Al-Dairi
الجامعي,Al-Jamei
خيرية,Khayriya
احركة,Ahrika
الزادمه,Al-Zadma
القديرى,Al-Qadiri
هبة,Heba
عبدالجواد,Abdeljawad
سيف,Saif
الست,Al-Set
النوري,Al-Nouri
الخداشي,Al-Khadashi
سميرة,Samira
الدشاش,Al-Dashash
ناجية,Najia
امجحيد,Amjheid
نوال,Nawal
امبيه,Ambih
أمريض,Amreid
أمهشهش,Amhashhash
سرير,Sreir
الككلى,Al-Kikli
بوشناف,Boshnaf
بوعوينة,Boaineh
بالنور,Belnour
عيده,Aida
حبيب,Habib
سوالم,Suwalem
فاديه,Fadia
الشوبكي,Al-Shoubaki
البرغثى,Al-Barghathi
الهوني,Al-Houni
نادية,Nadia
الربع,Al-Rubaa
مباركه,Mubarka
عبله,Abla
فريد,Farid
القرضاوي,Al-Qaradawi
زاهية,Zahia
المالطي,Al-Malti
احميدة,Ahmeida
الزليتني,Al-Zlitni
ايه,Ayh
السنوسي,Al-Senussi
رسلان,Ruslan
نورية,Nouria
البرانى,Al-Barani
الكيلانى,Al-Kilani
محجوب,Mahjoub
بالحسن,Belhassan
فتاح,Fattah
إدريس,Idris
ماهر,Maher
الطبولي,Al-Tabouli
ميكائيل,Mikail
الجروشي,Al-Jaroushi
الشركي,Al-Sharki
سليمه,Salima
الجحاوى,Al-Jahawi
التركاوي,Al-Terkawi
بوعجيله,Boajila
التاجوري,Al-Tajouri
رمزي,Ramzi
عبدالكافي,Abdelkafi
بوساندها,Bosandha
مروه,Marwa
عطّيه,Atiya
الورشفاني,Al-Wershefani
مهدى,Mahdi
تفاحة,Tuffaha
مراد,Murad
العلاقي,Al-Alaqi
العمرونى,Al-Amrouni
أمغيب,Amghaib
اسماء,Asmaa
كاطو,Kato
المحمودى,Al-Mahmoudi
الكرغلى,Al-Karaghli
ريما,Reema
التريكى,Al-Turki
الرقيق,Al-Raqiq
معيوف,Mayouf
غانم,Ghanm
لامين,Lamin
شريفه,Sharifa
رؤيا,Roaya
صابر,Saber
العنيزى,Al-Anizi
الرجوان,Al-Rajwan
أروى,Arwa
الفناص,Al-Fannas
القداري,Al-Qadari
السنيه,Al-Siniya
الفسى,Al-Fassi
سيد,Syd
لامار,Lamar
التواتي,Al-Twaty
فائز,Faiz
غيداء,Ghaida
مداوى,Madhawi
هنداوي,Hindawi
صفية,Safiya
زائد,Zayed
اية,Aya
الشحات,Al-Shehat
باشير,Bashir
الرقيعي,Al-Raqii
مروة,Marwa
عقيل,Aqeel
الخير,Al-Khair
ذاود,Dawood
الترهوني,Al-Tarhouni
رابحين,Rabheen
الدامى,Al-Dami
ونيسه,Waneesa
الكيلاني,Al-Kilani
كريمة,Karima
عبدالسيد,Abdelsayed
السوسي,Al-Sousi
نسرين,Nesreen
التاجورى,Al-Tajouri
يحي,Yhy
غزى,Ghazzi
سلوي,Salwa
العباني,Al-Abbani
الدعيكي,Al-Duaiki
الخمسى,Al-Khomsi
غريب,Gharib
المنشاوى,Al-Menshawi
بودلال,Bodlal
المرابط,Al-Murabit
مني,Muna
ردينة,Rudaina
الشويهدي,Al-Shwihdi
هيثم,Haitham
حليمة,Halima
اسراء,Esraa
الزيانى,Al-Zayani
رحمة,Rahma
الدبار,Al-Dabbar
نمر,Nimr
السيدة,Al-Sayyida
علم,Alam
الطرابلسي,Al-Trabulsi
منصوره,Mansoura
المجبرى,Al-Majbari
كحيل,Kuhail
اكرم,Akram
الكاسح,Al-Kasih
العيادى,Al-Ayadi
النايلى,Al-Naili
رجعة,Rja
امعيزيق,Emaziq
المحجوب,Al-Mahjoub
الزينه,Al-Zeina
العجيلى,Al-Ajyla
ابريك,Abreik
بوجوله,Bojoula
فائزة,Faiza
احنيش,Ahnish
انتسال,Intisal
اقصيبات,Aqsibat
أبوجوارى,Aboujawari
عليوه,Aliwa
الزواوي,Al-Zwawy
أعبيد,Abeid
بيسان,Bisan
منصف,Munsif
صبري,Sabri
ادريزه,Idriza
الصابر,Al-Sabr
جبر,Jbr
ابوراوي,Abourawi
المعتصم,Al-Mutasim
بالله,Billah
نجاه,Najat
الزلاوي,Al-Zlawi
أهليل,Ahlil
الفسي,Al-Fassi
سامي,Sami
ماجدة,Majda
الزبير,Al-Zubair
خمادة,Khamada
أرين,Areen
ياسمين,Yasmin
أمحمد,Emhamed
الحجاجى,Al-Hajjaji
اسليم,Asleem
الهدار,Al-Hdar
المقصود,Al-Maqsoud
بوحليفه,Bohalifa
البنونى,Al-Bannouni
بودبوس,Bodbous
الحولة,Al-Houla
منيسي,Menisi
ورده,Warda
العكب,Al-Akab
الو,Al
رفلي,Warfali
ربيعة,Rabia
الجالي,Al-Jaly
فيصل,Faisal
امجيديب,Amjideb
أسيل,Aseel
رهف,Rahaf
زينه,Zeina
بوسيف,Boseif
فيتوري,Fitouri
غيظان,Ghaithan
كشكر,Kashkar
نائل,Nail
غيضان,Ghaidan
العقباني,Al-Aqbani
امباركه,Embarika
ابلال,Ablal
موده,Mawadda
المصري,Al-Masri
بوزويده,Bozweida
سعيده,Saeeda
البدرى,Al-Badri
ر,R
هف,Hf
باكره,Bakra
الجيلاني,Al-Jilani
الجهمى,Al-Jhma
بالشهر,Belshahr
عبدالمولى,Abdelmawla
النبى,Al-Nba
ابوهدمه,Abouhadma
ضاويه,Dhawiya
جنى,Jana
المغيربي,Al-Maghirbi
القاسى,Al-Qasi
بوهيسة,Bohisa
كمال,Kamal
مرضى,Mardhi
فايزه,Faiza
عبدالمطلوب,Abdelmatloub
اذويب,Adhwaib
غاده,Ghada
حفيظ,Hafeez
الوداوي,Al-Wadawi
محارب,Muharib
عبدالغنى,Abdelghani
الصريط,Al-Srait
الفليليح,Al-Flailih
هند,Hind
عاطف,Atf
الطيب,Al-Tayeb
زنيب,Zainab
القادر,Al-Qadr
ابوصلاح,Abousalah
بوخريص,Bokhreis
شبره,Shabra
رشيد,Rashid
شولاك,Shoulak
أبوبكر,Abubakr
الترهونى,Al-Tarhouni
أرميل,Armeel
سدينه,Sdeina
الماقورى,Al-Maqouri
بالاشهر,Belashhar
أميره,Amira
نجيب,Najib
الهنيد,Al-Hunaid
موفق,Mowaffaq
إيرين,Irene
السيوي,Al-Siwi
المهشهش,Al-Mahshash
الحاسي,Al-Hassi
رابح,Rabeh
انور,Anwar
مصفطى,Mostafa
الطيرة,Al-Tira
ضاوية,Dawya
الشرقان,Al-Shargan
رنده,Randa
شتيوى,Shtiwi
مبسوطة,Mabsoota
لجهر,Lajhar
نعيم,Naeem
ماضي,Madi
الهمالي,Al-Hamali
بلقاسم,Belqasim
القبائلى,Al-Qabaili
شاحوت,Shahout
الشاعرى,Al-Shaeri
منية,Muniya
فطوم,Fatoum
حسني,Hosni
البركاوي,Al-Barkawi
صوان,Sawan
المطرى,Al-Matri
القرفة,Al-Qirfa
هديه,Hadia
ميلود,Miloud
البرعصي,Al-Baraasi
الزرقه,Al-Zarqa
الدرسي,Al-Darsi
جقرم,Jaqram
علواني,Alwani
مصطفي,Mostafa
الكردي,Al-Kurdi
امنى,Omnia
الدوكالى,Al-Doukali
امجيحيد,Amjheid
مُبشر,Mubashir
المختاري,Al-Mukhtari
اقبيلي,Aqbeili
البرناوي,Al-Barnawi
الرابحي,Al-Rabhi
المشيطي,Al-Mashiti
جلال,Jalal
العيساوي,Al-Issawi
ساسي,Sasi
اهليل,Ahlil
بانى,Bani
البريكي,Al-Buraiki
جنان,Jinan
الاكرش,Al-Akrash
ادخيل,Adkheil
الرياني,Al-Rayyani
رزان,Razan
بوشاقور,Boshagour
حويله,Huwaila
بتال,Batal
بوكمار,Bokmar
رواد,Ruwad
جميلة,Jamila
العقوريه,Al-Aqouriya
لؤى,Luay
فهمى,Fahmi
بيرماكس,Birmax
توفيق,Tawfiq
ارواق,Arwaq
نوايل,Nawail
عويضه,Aweida
سجاوة,Sajawa
ابحيرى,Abhairi
عبدالفراج,Abdelfaraj
مكتوبه,Maktouba
لشهب,Lashhab
اعبيد,Abeid
الفايدي,Al-Faidi
حمزة,Hamza
شيناه,Shinah
أمهيوس,Amhyous
الريانى,Al-Ryana
بورزيزه,Borzeiza
جازية,Jazia
السائح,Al-Sayeh
الضويلة,Al-Duwaila
ابوقطمه,Abouqatma
عسيلة,Aseela
امراجي,Amraji
صافية,Safia
الهام,Elham
بركه,Baraka
تيسير,Taysir
الشائب,Al-Shaeb
امينه,Amina
الهوارى,Al-Hawari
امهدى,Emhda
بالخير,Belkhair
الضليل,Al-Dhuleil
ادبيش,Adbeish
الجلالي,Al-Jalali
زريق,Zuraiq
ابودلال,AbouDalal
فايزة,Fayza
الحجال,Al-Hajjal
الشهوبي,Al-Shahoubi
نورى,Nouri
فجريه,Fajriya
اكشيش,Akshish
احسان,Ihsan
حمدي,Hamdi
العبيدي,Al-Obaidi
حكيم,Hakim
محمدعلى,Mohammed Ali
الشعافى,Al-Shafa
جورى,Jouri
نورسان,Noursan
القماطي,Al-Qamati
سهام,Seham
الهمالى,Al-Hamali
بولعج,Bolaaj
تهاني,Tahani
اوربده,Ourbida
الطريدى,Al-Traidi
عبدربة,Abdrabbo
مادى,Madi
المكرش,Al-Makrash
أوريدة,Oureida
النافع,Al-Nafa
الحفيظ,Al-Hafeez
شيشيو,Shishio
مناجي,Munaji
الشهيبي,Al-Shaheibi
بودراعه,Bodraa
بوسبعه,Bosbaa
المنصوري,Al-Mansouri
ابوراوى,Abourawi
رابحة,Rabha
بسكرى,Biskri
الاوجلى,Al-Awjali
أخريم,Akhrim
صابرين,Sabreen
ثريا,Thuraya
مجاور,Mujawir
المزوغي,Al-Mazoughi
مفيده,Mufida
مستورة,Mastoura
أبوهدمه,Abouhadma
القذافى,Al-Qadhafi
الشلوى,Al-Shalwi
سلطان,Sultan
الخرم,Al-Kharam
البركي,Al-Barki
مولاى,Moulay
حاملينها,Hamlinha
راف,Raaf
مطرف,Mutraf
الصلابى,Al-Sallabi
تربل,Tarbel
الشاعري,Al-Shaeri
الزلتني,Al-Zlitni
امداوي,Emdawi
الدالي,Al-Dali
امبية,Ambiya
بومحجوبة,Bomahjouba
الذيب,Al-Dheeb
الراحل,Al-Rahil
ابواصبع,AbouAsba
الاجنف,Al-Ajnaf
الرحيبى,Al-Ruhaibi
نورالدين,Noureddin
مشاش,Mashash
السحار,Al-Sahhar
المستيري,Al-Mistiri
بركات,Barakat
بكار,Bakkar
رحيق,Rahiq
جادالمولى,Jad Al-Mawla
البلالى,Al-Balali
الظريف,Al-Zarif
بوفراج,Bofaraj
فدوى,Fadwa
دريزه,Driza
عازة,Aza
دولت,Dawlat
خلود,Khulood
قجة,Qja
المرتجع,Al-Murtaja
هندر,Handar
الدروقي,Al-Drouqi
الباسط,Al-Bast
النعا,Al-Na
س,S
العوامى,Al-Awama
العمامى,Al-Omami
الخفيفي,Al-Khafeefi
البركى,Al-Barki
الاحجل,Al-Ahjal
زبي,Zby
الكراثى,Al-Kratha
حافظ,Hafez
الكزه,Al-Kzh
بومريومه,Bomaryouma
ازريق,Azriq
ناجي,Naji
الغماري,Al-Ghamari
باسل,Basel
شعيتر,Shaytr
فيروز,Fairouz
الخازمي,Al-Khazmi
بولموشة,Bolmousha
